user_id;0;1;2;3;4;5
1;Sherlock;Ozark;La Casa de Papel;Mindhunter;Game of Thrones;
2;Narcos;Brooklyn Nine-Nine;Rick and Morty;;;
3;Friends;Lucifer;Vikings;The Witcher;Black Mirror;Dark
4;The Boys;Better Call Saul;Narcos;;;
5;How I Met Your Mother;La Casa de Papel;Vikings;Dark;Black Mirror;
6;Breaking Bad;Friends;The Office;;;
7;The Umbrella Academy;Elite;;;;
8;Breaking Bad;Brooklyn Nine-Nine;Chernobyl;The Office;You;
9;Black Mirror;Chernobyl;The Crown;Sex Education;Ozark;
10;The Walking Dead;Sex Education;Friends;Elite;Stranger Things;The Crown
11;Brooklyn Nine-Nine;House of Cards;Sex Education;Dark;;
12;The Umbrella Academy;Chernobyl;Peaky Blinders;Lucifer;La Casa de Papel;Brooklyn Nine-Nine
13;Stranger Things;Peaky Blinders;You;House of Cards;The Office;
14;The Mandalorian;House of Cards;The Witcher;The Office;Friends;La Casa de Papel
15;Narcos;Brooklyn Nine-Nine;;;;
16;Breaking Bad;The Witcher;House of Cards;The Mandalorian;Ozark;Brooklyn Nine-Nine
17;The Office;Narcos;;;;
18;Elite;The Boys;;;;
19;Ozark;How I Met Your Mother;;;;
20;Narcos;Stranger Things;Rick and Morty;Peaky Blinders;Vikings;
21;Brooklyn Nine-Nine;The Umbrella Academy;Narcos;;;
22;The Walking Dead;Narcos;Black Mirror;;;
23;Brooklyn Nine-Nine;Breaking Bad;The Witcher;;;
24;House of Cards;Mindhunter;You;;;
25;Friends;Elite;;;;
26;Dark;How I Met Your Mother;Mindhunter;Better Call Saul;;
27;Elite;Chernobyl;The Mandalorian;Stranger Things;The Crown;
28;Mindhunter;Stranger Things;;;;
29;Black Mirror;Brooklyn Nine-Nine;;;;
30;La Casa de Papel;Rick and Morty;;;;
31;The Witcher;La Casa de Papel;;;;
32;La Casa de Papel;The Mandalorian;Lucifer;;;
33;Elite;Ozark;Friends;Black Mirror;;
34;The Walking Dead;Peaky Blinders;You;Rick and Morty;Ozark;
35;The Witcher;Black Mirror;How I Met Your Mother;Ozark;Lucifer;The Crown
36;Better Call Saul;Lucifer;The Walking Dead;;;
37;La Casa de Papel;The Crown;House of Cards;Dark;;
38;Sherlock;The Office;The Mandalorian;Black Mirror;Vikings;You
39;Lucifer;Black Mirror;How I Met Your Mother;;;
40;How I Met Your Mother;Rick and Morty;The Umbrella Academy;Elite;;
41;Lucifer;Black Mirror;Chernobyl;;;
